,0
0,5501.59145577054
1,-10119.190765047446
2,1254.714528968092
3,-5168.506378798513
4,7977.117037793272
5,5801.815513181966
6,-1651.4410235412652
7,1599.5823944661533
8,9796.378324886435
9,4069.3098268257454
10,-7896.290813483531
11,-8133.030349877197
12,-93.75194847618695
13,4811.698348834412
14,1043.846265630913
15,3526.9487661647145
16,-10208.841507812962
17,-7781.162007463165
18,9637.09470386093
19,-5396.833645948791
20,-1609.4360537832836
21,1914.347054875223
22,5178.525495803566
23,585.9559789540945
24,10926.947230434162
25,-20680.818743465585
26,1054.3963084749412
27,-13291.862106238375
28,6425.25030502805
29,-12065.195867604809
30,-4039.272585294908
31,-1167.3310376694426
32,1951.6766969255405
33,-2146.6877423863625
34,9458.015978000592
35,6117.121907507535
36,-1375.787664829637
37,2587.0280200736597
38,-5030.021809216472
39,-953.8302750604926
40,526.7145452601835
41,-2934.755198503961
42,5440.270925830933
43,-1337.131241018651
44,1382.6618221534882
45,-174.16991247679107
46,-4432.265485561569
47,-5558.070685588871
48,-849.4730273921741
49,-2747.288066139561
50,5044.709375856328
51,-5018.581053386442
52,6144.686784780584
53,618.7633275578264
54,-4151.519865631126
55,10816.333133227541
56,-32432.736049694708
57,-13252.170034288429
58,16049.963130739518
59,13739.091974538402
60,12575.07813473232
61,1041.6303072661394
