,0
0,1000000.0
1,999881.5664863294
2,996852.6790150699
3,992275.8456861224
4,989864.5063878959
5,990581.948102012
6,992940.1433085938
7,982241.1943336269
8,988085.6763725672
9,974699.032372179
10,975761.2917352545
11,964117.1656671199
12,969290.9329664528
13,980992.0095165387
14,971881.2520533494
15,984145.1337762362
16,971323.9142727943
17,978214.4787397733
18,1001180.0517287786
19,1002719.1008846688
20,991355.2166761749
21,1000456.5536976348
22,1003237.1523256982
23,986401.330876833
24,970366.7704350591
25,969396.4201480176
26,969269.6779579644
27,966921.5715049405
28,971097.7304520556
29,973831.4030480797
30,977654.7798388294
31,975402.360148784
32,974449.20318644
33,979634.6602119731
34,974630.7377769119
35,975891.9478759551
36,982299.5315033091
37,980046.9723029583
38,975893.906534619
39,990465.3995907179
40,990981.2844725503
41,992781.9301960472
42,995469.0134600947
43,997547.2478040776
44,992224.7714984228
45,995095.7462161569
46,993792.615695241
47,1009655.5439933402
48,1008955.976335668
49,1012887.5369091845
50,1019177.4619938318
51,1026530.3519564928
52,1029596.3154744197
53,1031301.5551184006
54,1028149.1308104028
55,1024859.551316106
56,1027196.8057732985
57,1028970.1602300801
58,1035696.3424164135
59,1045950.331438656
60,1042216.9992799801
61,1051201.9111691145
62,1049894.5180536876
