,0
0,1000000.0
1,999925.045198138
2,999660.6947179488
3,997601.7057705845
4,997150.7969121358
5,995236.8436972451
6,993940.5424762951
7,993231.2429566064
8,989022.7377294548
9,988777.5359001739
10,990581.2786483346
11,982126.2033930016
12,986498.4429637799
13,983952.1809070834
14,982371.681419205
15,984359.3895115654
16,986617.6883342476
17,994259.0188009397
18,987240.6899540715
19,980279.0262357742
20,976182.5190077131
21,979773.6943495423
22,976588.9521248883
23,982563.6109833543
24,990513.0727859911
25,991029.3454829147
26,971299.6014236936
27,973736.4885829387
28,971695.1786617183
29,967860.762320136
30,946373.2538915647
31,946037.048241874
32,942118.5807733648
33,937384.2886200554
34,920170.8375435576
35,937075.7226858314
36,929020.1119013105
37,921924.1027886488
38,913117.6001201371
39,892841.6864935105
40,890316.713420182
41,900381.117797029
42,881545.329419384
43,883375.3124770203
44,876311.4963080202
45,904276.4832374228
46,905442.9242443915
47,919472.4031933979
48,922447.3510384078
49,921493.8663594024
50,934988.6583137615
51,942123.132500618
52,930240.3365388568
53,920293.7978257921
54,957245.0020164067
55,947595.538587314
56,955115.3921726518
57,967442.9660129228
58,957000.1379991977
59,937784.6708145887
60,945723.4026459546
61,958626.2506109979
62,977527.7272301374
63,981856.5562356925
64,979188.130603201
65,965517.6494273256
66,966929.2670049442
67,992979.5833962872
68,991292.8572376745
69,971676.6002298815
70,983782.9295045526
71,991215.3321470397
72,992780.8920442399
73,971057.7766004323
74,983470.4409454293
75,975258.840296877
76,982208.4669762915
77,991735.7997694457
78,987132.9295339037
79,987927.6875225718
80,1003476.1460119451
81,1002512.2282165465
82,1006226.9202361715
83,1026887.7942519828
84,1026810.8834006104
85,1038377.8604671208
86,1025401.7793593963
87,1048255.5296987656
88,1030014.0598245716
89,1033879.1953304313
90,1014756.627622159
91,1023574.6524951955
92,1018455.7755244181
93,1040122.1562082844
94,1033920.2529912612
95,1028458.9408333639
96,1019335.0343027911
97,1019310.925305335
98,1039769.0210555354
99,1023476.9415973912
100,1035369.6036577602
101,1044990.781896393
102,1064926.4752250456
103,1066885.6622408796
104,1060762.231700925
105,1073406.5505945229
106,1076310.2334970257
107,1076579.620993577
108,1076641.3499046513
109,1072788.7096846974
110,1071550.7644769263
111,1074235.1193247358
112,1058172.643823909
113,1051226.736087558
114,1045442.5378024264
115,1052171.2549177236
116,1050198.3475181358
117,1026498.8257136797
118,1027048.3877573465
119,1023716.6573661107
120,1038768.4172807024
121,1036408.6964307044
122,1046539.8110545437
123,1038816.1641898452
124,1041929.4170521803
125,1019218.0658784906
126,1026872.8421324617
127,1008904.113177907
128,1007248.3514714835
129,1011114.6695481315
130,1004747.7641220572
131,1027378.2272092785
132,1029899.2544799456
133,1061644.9745986348
134,1070261.8031258378
135,1072512.1329296848
136,1086766.4700453326
137,1092738.28628487
138,1088493.3483847738
139,1112373.7268552156
140,1112972.9424821758
141,1112835.295397861
142,1107424.0292999265
143,1102883.8855758817
144,1112713.7821144136
145,1117995.2609096891
146,1130095.9332393222
147,1133538.9595832834
148,1133630.9366165763
149,1133598.9806215107
150,1139660.5228426824
151,1131068.9670046323
152,1121035.4338728436
153,1140746.456416553
154,1142612.9776993252
155,1133370.2056423987
156,1106788.2146973226
157,1118469.913020825
158,1124401.842200321
159,1134022.294369275
160,1151902.7008106404
161,1153568.5016514538
162,1157147.7422812867
163,1159831.8897514949
164,1161325.9927704684
165,1158047.0533041423
166,1153524.213758533
167,1130034.3880237923
168,1125378.3419920017
169,1136228.5207482157
170,1147808.7741931803
171,1159802.5750742862
172,1170006.2351864402
173,1183448.5400439717
174,1180431.5330749569
175,1187818.3173893448
176,1191226.9315358293
177,1208084.4943712405
178,1208538.0791880402
179,1213940.4422365425
180,1205903.6680176728
181,1215481.9110910194
182,1203102.9910374503
183,1198596.6885976142
184,1190674.5537920552
185,1204197.8653498348
186,1201428.861012426
187,1200005.0896930597
188,1174951.5720913876
189,1172587.3417743423
190,1191460.3164554855
191,1204395.9351673785
192,1208434.9740507891
193,1215828.3722126442
194,1225411.7511410182
